City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Meulaboh,ID,80.29,overcast clouds,4.1363,96.1285,Kost Pria
511,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
518,Gunnedah,AU,87.42,clear sky,-30.9833,150.25,Gunnedah Motor Inn
519,Dingle,PH,84.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
521,Nelson Bay,AU,78.3,broken clouds,-32.7167,152.15,Mantra Nelson Bay
526,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
532,Namibe,AO,77.76,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
535,Acarau,BR,78.67,scattered clouds,-2.8856,-40.12,castelo pizzaria
544,Magomeni,TZ,79.36,few clouds,-6.8,39.25,Protea Hotel by Marriott Dar es Salaam Courtyard
554,Sola,VU,82.17,overcast clouds,-13.8833,167.55,Leumerus Bungalows
560,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
564,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
569,Kontagora,NG,79.3,broken clouds,10.3999,5.4695,Queens Guest Inn
570,Tamandare,BR,79.45,few clouds,-8.7597,-35.1047,Pousada 100 Passos
575,Namatanai,PG,85.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
579,Harper,LR,78.48,overcast clouds,4.375,-7.7169,Screensaver
581,Itarema,BR,79.65,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
584,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
590,Kralendijk,BQ,78.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
603,Impfondo,CG,78.06,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
607,Pundaguitan,PH,77.59,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
609,Port Augusta,AU,82.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
612,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
616,Daru,PG,86.92,scattered clouds,-9.0763,143.2092,Daru Lodge
621,Mogadishu,SO,75.07,clear sky,2.0371,45.3438,Hotel Juba
625,Gorontalo,ID,77.59,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
628,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
641,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
648,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
653,Amuntai,ID,87.67,light rain,-2.4177,115.2494,Hotel Balqis
656,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
660,Dawei,MM,85.51,few clouds,14.0833,98.2,Hotel Dawei
666,Rio Branco,BR,77.61,light rain,-9.9747,-67.81,Hotel Guapindaia Bosque
667,Phangnga,TH,85.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
669,Muli,MV,82.22,broken clouds,2.9167,73.5667,Medhufushi Island Resort
