City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Chuy,UY,-33.6971,-53.4616,66.69,84,14,8.97,few clouds
88,Bambous Virieux,MU,-20.3428,57.7575,79.21,90,100,25.81,moderate rain
89,Bluff,NZ,-46.6,168.3333,60.8,56,58,14.38,broken clouds
90,Mahebourg,MU,-20.4081,57.7,79.25,90,100,25.66,moderate rain
91,Niamey,NE,13.5137,2.1098,77.14,13,23,10.58,few clouds
92,Gizo,SB,-8.103,156.8419,85.26,68,98,5.26,overcast clouds
93,Deer Lake,CA,49.1667,-57.4316,21.06,73,100,11.5,overcast clouds
94,Requena,ES,39.4883,-1.1004,47.98,58,100,3.44,overcast clouds
95,Penzance,GB,50.1186,-5.5371,43.81,62,75,27.36,broken clouds
96,Ozernovskiy,RU,51.5,156.5167,30.7,57,100,2.64,overcast clouds
97,Pochutla,MX,15.7432,-96.4661,81.45,71,0,4.34,clear sky
98,Xuanzhou,CN,30.9525,118.7553,38.7,77,99,9.4,overcast clouds
99,Hobart,AU,-42.8794,147.3294,75.02,31,0,14.97,clear sky
100,Adre,TD,13.4667,22.2,64.22,21,0,21.68,clear sky
101,Bethel,US,41.3712,-73.414,30.49,58,0,5.75,clear sky
102,Tiarei,PF,-17.5333,-149.3333,86.0,73,77,11.32,light rain
103,Arua,UG,3.0201,30.9111,69.15,55,91,2.26,overcast clouds
104,Sassandra,CI,4.95,-6.0833,76.95,91,67,4.23,moderate rain
105,Arlit,NE,18.7369,7.3853,63.9,17,9,7.2,clear sky
106,Sao Filipe,CV,14.8961,-24.4956,70.88,64,0,10.78,clear sky
107,Kuching,MY,1.55,110.3333,80.82,83,20,3.44,few clouds
108,Soro,IN,21.2881,86.6858,69.75,54,0,3.38,clear sky
109,Luwuk,ID,-0.9516,122.7875,81.39,80,100,1.3,overcast clouds
110,Buraydah,SA,26.326,43.975,66.65,31,0,11.32,clear sky
111,Jatiroto,ID,-7.8833,111.1167,78.82,78,100,2.48,overcast clouds
112,Baykit,RU,61.67,96.37,-7.02,100,100,1.23,overcast clouds
113,Awbari,LY,26.5921,12.7805,49.78,39,0,8.03,clear sky
114,Torbay,CA,47.6666,-52.7314,54.57,92,100,39.12,moderate rain
115,Narsaq,GL,60.9167,-46.05,7.02,79,45,6.55,scattered clouds
116,Ola,RU,59.5833,151.2833,2.14,73,30,10.58,scattered clouds
117,Klaksvik,FO,62.2266,-6.589,32.92,66,99,21.74,overcast clouds
118,Xining,CN,36.6167,101.7667,11.17,73,98,1.97,overcast clouds
119,Westport,US,41.1415,-73.3579,31.8,51,0,10.36,clear sky
120,Orlik,RU,52.5178,99.825,-3.15,95,100,2.19,overcast clouds
121,Bengkulu,ID,-3.8004,102.2655,76.69,86,100,5.79,overcast clouds
122,Okhotsk,RU,59.3833,143.3,1.42,72,100,11.41,overcast clouds
123,Joensuu,FI,62.6012,29.7632,23.49,93,100,6.91,overcast clouds
124,Praia Da Vitoria,PT,38.7333,-27.0667,50.76,76,100,8.95,overcast clouds
125,Kaitangata,NZ,-46.2817,169.8464,54.0,89,100,7.0,overcast clouds
126,Asuncion,PY,-25.3007,-57.6359,85.44,37,0,5.75,smoke
127,Yulara,AU,-25.2406,130.9889,81.84,20,0,13.76,clear sky
128,Dikson,RU,73.5069,80.5464,-10.95,93,17,9.44,few clouds
129,Margate,GB,51.3813,1.3862,40.75,65,6,5.01,clear sky
130,Tuktoyaktuk,CA,69.4541,-133.0374,-14.28,96,98,2.75,overcast clouds
131,Santa Maria Del Oro,MX,25.9333,-105.3667,53.94,25,100,10.56,overcast clouds
132,Abu Dhabi,AE,24.4667,54.3667,64.96,89,0,0.0,clear sky
133,San Quintin,MX,30.4833,-115.95,59.32,45,0,9.57,clear sky
134,Dalbandin,PK,28.8947,64.4101,53.74,34,0,4.88,clear sky
135,Banda Aceh,ID,5.5577,95.3222,81.66,71,99,5.08,overcast clouds
136,Coihaique,CL,-45.5752,-72.0662,60.75,67,75,3.44,broken clouds
137,Karratha,AU,-20.7377,116.8463,98.91,26,71,17.07,broken clouds
138,Sargatskoye,RU,55.6101,73.4972,0.25,97,75,7.4,broken clouds
139,Flinders,AU,-34.5833,150.8552,76.05,72,88,7.0,overcast clouds
140,Mayo,US,38.8876,-76.5119,37.11,52,0,12.66,clear sky
141,Krasnogorsk,RU,55.8225,37.3181,32.45,86,75,11.18,broken clouds
142,Ilheus,BR,-14.7889,-39.0494,74.68,84,1,4.94,clear sky
143,Varkaus,FI,62.3153,27.873,24.91,92,74,9.42,broken clouds
144,Tiksi,RU,71.6872,128.8694,-26.75,99,76,4.36,broken clouds
145,San Patricio,US,28.017,-97.5169,55.26,48,88,8.19,overcast clouds
146,Havre,FR,49.5833,0.3333,39.43,62,20,17.94,few clouds
147,Hasaki,JP,35.7333,140.8333,45.28,51,100,10.74,overcast clouds
148,Qixingtai,CN,30.4135,111.8874,40.75,62,97,15.64,overcast clouds
149,Isangel,VU,-19.55,169.2667,86.11,79,75,4.61,broken clouds
150,Kasane,BW,-17.8167,25.15,66.7,75,61,6.6,broken clouds
151,Caravelas,BR,-17.7125,-39.2481,78.01,84,82,9.89,broken clouds
152,Baherden,TM,38.4362,57.4316,49.82,35,99,4.56,overcast clouds
153,Kodiak,US,57.79,-152.4072,40.51,70,75,6.91,broken clouds
154,Esperance,AU,-33.8667,121.9,81.34,39,13,4.99,few clouds
155,Hithadhoo,MV,-0.6,73.0833,81.75,68,89,7.2,overcast clouds
156,Cidreira,BR,-30.1811,-50.2056,72.91,76,0,12.19,clear sky
157,Bodden Town,KY,19.2833,-81.25,78.93,80,20,5.75,few clouds
158,Takoradi,GH,4.8845,-1.7554,78.84,88,56,7.76,broken clouds
159,Tshikapa,CD,-6.4167,20.8,71.01,94,100,1.83,overcast clouds
160,Aberdeen,GB,57.1437,-2.0981,35.2,88,100,5.75,overcast clouds
161,Flin Flon,CA,54.7682,-101.865,-6.95,90,96,8.68,overcast clouds
162,Garh Maharaja,PK,30.8339,71.9053,53.96,52,1,6.6,clear sky
163,Sept-Iles,CA,50.2001,-66.3821,4.05,68,1,3.0,clear sky
164,Tautira,PF,-17.7333,-149.15,86.0,73,67,12.35,light rain
165,Iqaluit,CA,63.7506,-68.5145,-29.31,66,27,8.99,scattered clouds
166,Adrar,MR,20.5022,-10.0711,65.28,10,100,8.12,overcast clouds
167,Bolgatanga,GH,10.7856,-0.8514,80.91,15,84,5.77,broken clouds
168,Jasper,US,37.2001,-94.3502,37.45,48,0,10.36,clear sky
169,Lebu,CL,-37.6167,-73.65,57.74,87,0,12.24,clear sky
170,Amritsar,IN,31.6331,74.8656,48.02,100,0,0.0,mist
171,Tuatapere,NZ,-46.1333,167.6833,60.82,54,21,12.24,few clouds
172,Rincon,US,32.296,-81.2354,64.26,63,40,8.05,scattered clouds
173,Yumen,CN,40.2833,97.2,13.1,41,0,8.88,clear sky
174,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,2.3,clear sky
